"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCL5",1.18702955491266e-98,7.82741052566907,0.965,0.062,1.22252173860454e-94
"B2M",2.33944121124386e-88,2.35755342573884,1,0.977,2.40939050346005e-84
"GZMA",5.68605901420607e-81,7.57208506216826,0.855,0.038,5.85607217873083e-77
"CST7",6.35049422613781e-80,6.33647684548399,0.864,0.077,6.54037400349933e-76
"HCST",4.89138112728973e-79,6.19302610628209,0.867,0.112,5.03763342299569e-75
"EPCAM",7.64366168044657e-77,-6.0609437549731,0.012,0.746,7.87220716469193e-73
"HLA-C",2.33038790526467e-75,1.8287006879781,0.997,0.869,2.40006650363209e-71
"CLDN4",1.54851048351855e-73,-6.00059655342976,0.02,0.731,1.59481094697575e-69
"ELF3",7.01056534315788e-73,-6.79245671431607,0.014,0.715,7.2201812469183e-69
"BTG1",1.04209074434794e-68,3.05156422072636,0.939,0.662,1.07324925760394e-64
"CD9",2.29707143802691e-68,-4.22358782872856,0.084,0.796,2.36575387402392e-64
"EMP2",6.15332162132541e-67,-7.90254350775572,0.006,0.662,6.33730593780304e-63
"CORO1A",1.78574715603033e-66,5.22511639271579,0.809,0.158,1.83914099599564e-62
"HLA-B",8.30319134647179e-64,1.674022314635,0.997,0.881,8.5514567677313e-60
"C19orf33",4.96568052316168e-63,-6.39675872451653,0.009,0.638,5.11415437080421e-59
"CD52",1.0961125431269e-62,5.33744025616233,0.795,0.169,1.12888630816639e-58
"CD59",6.83436947722019e-61,-3.93635978515698,0.069,0.731,7.03871712458907e-57
"APP",8.04453527524005e-60,-6.18977962848859,0.006,0.608,8.28506687996973e-56
"FXYD3",6.92088521770756e-59,-4.86042872457851,0.035,0.654,7.12781968571701e-55
"APLP2",7.18714805664511e-59,-3.6363594055871,0.09,0.735,7.40204378353879e-55
"CEACAM6",1.20135747865582e-58,-6.23332335341565,0.014,0.612,1.23727806726763e-54
"CTNNA1",1.79694707790952e-58,-3.63217290428677,0.035,0.673,1.85067579553902e-54
"CTSW",2.57773439605722e-58,8.3669945098672,0.676,0.012,2.65480865449933e-54
"GSTP1",4.1601356224954e-58,-2.29382238215555,0.54,0.95,4.28452367760801e-54
"ATP1B1",6.11356192714691e-58,-4.33980419091185,0.043,0.669,6.2963574287686e-54
"GSN",7.65756473113853e-58,-4.74682421613489,0.023,0.635,7.88652591659957e-54
"CLDN7",1.79294423283095e-57,-5.68615008207615,0.009,0.596,1.84655326539259e-53
"HLA-A",2.09832861459402e-57,1.41156247340067,1,0.896,2.16106864017038e-53
"GPRC5A",2.51591874192292e-57,-5.36304303091212,0.014,0.608,2.59114471230642e-53
"CXCR4",5.14452881840987e-57,5.71440389272365,0.734,0.112,5.29835023008033e-53
"HLA-E",6.40832465112206e-57,1.93640211593478,0.925,0.727,6.59993355819061e-53
"BRI3",7.2064724143492e-57,-3.95650202464095,0.052,0.677,7.42194593953824e-53
"AGR2",2.52510711177653e-56,-5.24032503885127,0.032,0.627,2.60060781441865e-52
"CST3",3.99291364799758e-56,-3.12024239765608,0.199,0.812,4.1123017660727e-52
"CCL4",1.04625137868041e-55,7.12462285428093,0.754,0.2,1.07753429490295e-51
"GZMH",2.6584906630572e-55,7.47813019818635,0.662,0.023,2.73797953388261e-51
"ARHGDIB",9.29647631943062e-55,2.57516034704037,0.87,0.558,9.5744409613816e-51
"BLVRB",5.94096117258584e-54,-3.35806382614135,0.043,0.654,6.11859591164616e-50
"HES1",1.13162999662072e-53,-6.20025086408724,0.006,0.558,1.16546573351968e-49
"CYB5A",8.27590039733837e-53,-3.31512440445444,0.113,0.746,8.52334981921878e-49
"CTTN",1.97613716713585e-52,-10.6438443643254,0,0.531,2.03522366843321e-48
"ARPC1A",6.35439012646421e-52,-3.37364180462766,0.043,0.642,6.54438639124549e-48
"CD63",1.52982384397219e-51,-2.17064883781016,0.543,0.931,1.57556557690695e-47
"CD3D",2.22056808620636e-50,6.94039016827891,0.63,0.035,2.28696307198393e-46
"GMFG",2.65493997709339e-50,4.04115819105533,0.705,0.108,2.73432268240848e-46
"BCAM",1.21274009413955e-49,-6.93557688083706,0.003,0.515,1.24900102295432e-45
"CD2",2.12161178591201e-49,7.25493440065681,0.616,0.027,2.18504797831078e-45
"CLDN3",2.25471600139368e-49,-4.96381771009931,0.014,0.542,2.32213200983535e-45
"CD3E",5.04780591225745e-49,6.50776162192392,0.616,0.031,5.19873530903395e-45
"CD48",8.32066035951222e-49,6.14977591993728,0.63,0.05,8.56944810426164e-45
"CRIP2",2.33408758956162e-48,-4.06819710838722,0.029,0.569,2.40387680848951e-44
"EFNA1",2.95899536538092e-48,-6.03913066581224,0.006,0.512,3.04746932680581e-44
"CCND1",9.25975997638471e-48,-5.78426161956504,0.006,0.508,9.53662679967862e-44
"GPX1",2.20933421188962e-47,-2.42750236265323,0.24,0.815,2.27539330482511e-43
"CD151",4.66029144316846e-47,-2.99287682445273,0.087,0.673,4.7996341573192e-43
"AK1",4.83966674634869e-47,-3.41079030462179,0.035,0.577,4.98437278206452e-43
"CD37",8.67969295975123e-47,6.19898672005376,0.601,0.035,8.93921577924779e-43
"CXCL17",1.9237596584875e-46,-5.50519566583513,0.017,0.519,1.98128007227628e-42
"FAM213A",1.92548388541789e-46,-5.56269089747187,0.003,0.488,1.98305585359188e-42
"H1F0",1.97720664456942e-46,-5.26800921297616,0.009,0.504,2.03632512324204e-42
"ANXA2",3.41489376332898e-46,-2.45908244877087,0.39,0.869,3.51699908685252e-42
"CDH1",4.15713966989926e-46,-7.03863190846772,0.003,0.485,4.28143814602925e-42
"DMKN",5.56338957246644e-46,-5.75884235102357,0.006,0.492,5.72973492068318e-42
"CRABP2",5.86977205614647e-46,-6.20921499511443,0.009,0.496,6.04527824062525e-42
"GZMM",2.0643945465581e-45,6.24493600648723,0.592,0.038,2.12611994350019e-41
"CD24",2.52411930632438e-45,-6.68874100562014,0.009,0.488,2.59959047358348e-41
"ERRFI1",3.47814453106969e-45,-4.72876343152196,0.014,0.508,3.58214105254867e-41
"F11R",1.26620046631117e-44,-5.36904947935557,0.006,0.481,1.30405986025388e-40
"CSTB",2.15709905300015e-44,-2.664882811156,0.373,0.862,2.22159631468485e-40
"HDLBP",2.506726560338e-44,-2.72028682318983,0.04,0.577,2.58167768449211e-40
"CKB",2.79645550055604e-44,-5.8095046692369,0.006,0.477,2.88006952002266e-40
"CRNDE",3.74427307214087e-44,-5.11749203131593,0.006,0.477,3.85622683699788e-40
"DSTN",7.25676541840122e-44,-2.09719313026217,0.277,0.831,7.47374270441142e-40
"ERBB3",3.68823605207565e-43,-10.451018779434,0,0.45,3.79851431003271e-39
"GZMB",3.96959691182596e-43,6.16927382664395,0.584,0.05,4.08828785948956e-39
"CD7",4.00927673205185e-43,5.88778442645642,0.587,0.054,4.1291541063402e-39
"HMGB3",4.52418184460908e-43,-4.77114826099155,0.014,0.488,4.65945488176289e-39
"FTH1",4.75086022938821e-43,-1.46458035009735,0.991,0.996,4.89291095024692e-39
"CAV2",9.83391105316998e-43,-10.9056023640312,0,0.446,1.01279449936598e-38
"DHCR24",1.62121774231986e-42,-5.21013370078287,0.009,0.469,1.66969215281523e-38
"EVL",1.96194161591059e-42,4.42768777748275,0.647,0.146,2.02060367022632e-38
"DDR1",2.6137286212508e-42,-10.0078965879748,0,0.442,2.69187910702619e-38
"FOLR1",2.73131324373872e-42,-4.8756551582711,0.014,0.481,2.81297950972651e-38
"CALU",6.80765127809305e-42,-3.32208685214578,0.029,0.519,7.01120005130803e-38
"GDF15",8.43922469128076e-42,-6.75803547147539,0.003,0.446,8.69155750955005e-38
"CRB3",1.02512335774458e-41,-5.73901195593709,0.003,0.446,1.05577454614114e-37
"CETN2",1.21070114411798e-41,-3.31450107026774,0.029,0.519,1.24690110832711e-37
"CYSTM1",1.23997662341425e-41,-2.78510944098161,0.075,0.619,1.27705192445433e-37
"FAM129B",1.82898137534135e-41,-10.0896587742303,0,0.435,1.88366791846405e-37
"EGR1",3.09990275897775e-41,-3.26684277219755,0.081,0.604,3.19258985147119e-37
"CNN3",5.1158765710754e-41,-3.62073521141046,0.023,0.496,5.26884128055055e-37
"ATF3",1.25346583166688e-40,-3.98942387959472,0.029,0.5,1.29094446003372e-36
"EPHX1",1.93009833237228e-40,-5.14854329376956,0.009,0.45,1.98780827251021e-36
"CD69",3.048227349605e-40,6.41544752785223,0.546,0.038,3.13936934735819e-36
"DUSP2",4.13331048161758e-40,5.29504538254414,0.604,0.112,4.25689646501795e-36
"CDC42EP1",4.78613866459224e-40,-5.81594451762649,0.003,0.431,4.92924421066354e-36
"CD53",5.72216882772434e-40,5.86149091089646,0.549,0.046,5.89326167567329e-36
"ABCC3",8.62543089272619e-40,-10.4049264435486,0,0.419,8.8833312764187e-36
"BNIP3",1.00819941041574e-39,-2.6464011410927,0.055,0.565,1.03834457278717e-35
"ASPH",1.1664217017339e-39,-4.45007752527542,0.023,0.477,1.20129771061575e-35
"AGRN",2.24284996131904e-39,-10.1786035083887,0,0.415,2.30991117516248e-35
"ADAM15",2.7130079132748e-39,-3.72838646687768,0.017,0.465,2.79412684988172e-35
"CTSH",5.11880785098679e-39,-3.48524612377162,0.055,0.538,5.27186020573129e-35
"ENAH",8.466158458276e-39,-5.52395028996078,0.003,0.419,8.71929659617846e-35
"GOLM1",2.0828317368101e-38,-2.92535468100229,0.029,0.488,2.14510840574072e-34
"ADI1",2.72500865897172e-38,-2.46506007256658,0.058,0.558,2.80648641787497e-34
"CTNND1",5.1824248716495e-38,-6.25520669381654,0.003,0.412,5.33737937531182e-34
"EI24",9.46149881482446e-38,-2.65356578059741,0.04,0.515,9.74439762938771e-34
"ACAP1",1.12678000693006e-37,6.10985977655492,0.535,0.054,1.16047072913727e-33
"CLTC",1.5229851000333e-37,-2.5485325022955,0.046,0.527,1.56852235452429e-33
"C8orf4",2.29030176245234e-37,-5.6077583042929,0.012,0.427,2.35878178514967e-33
"EPS8",3.0236395694864e-37,-6.52587697946282,0.003,0.404,3.11404639261405e-33
"CYR61",4.46621740189391e-37,-4.82173038000675,0.012,0.427,4.59975730221054e-33
"GPX4",8.3368327428268e-37,-1.83651560486906,0.436,0.854,8.58610404183732e-33
"CTSZ",1.01971058056881e-36,-2.38780163226999,0.052,0.535,1.05019992692781e-32
"CNIH4",1.19920749521053e-36,-2.3887798558132,0.095,0.619,1.23506379931732e-32
"GTF2I",1.760750745722e-36,-1.98936713146052,0.101,0.638,1.81339719301909e-32
"FCGRT",1.91375693879146e-36,-2.49596191601515,0.064,0.554,1.97097827126133e-32
"COA3",2.09642165084743e-36,-1.94679156815643,0.098,0.635,2.15910465820777e-32
"AGPAT2",3.25620710040922e-36,-2.1251376281697,0.061,0.554,3.35356769271145e-32
"ANAPC11",4.61513715710463e-36,-1.79900864549736,0.254,0.781,4.75312975810206e-32
"AP1M2",6.17938298557058e-36,-5.06389852957811,0.003,0.392,6.36414653683914e-32
"DUSP6",9.90678031859366e-36,-3.32132772126452,0.046,0.496,1.02029930501196e-31
"DSP",2.67968845804549e-35,-10.2683886990047,0,0.377,2.75981114294105e-31
"ERBB2",3.44797826217114e-35,-3.77966060784203,0.012,0.412,3.55107281221005e-31
"FARP1",3.8302740484603e-35,-5.59360022509885,0.003,0.385,3.94479924250927e-31
"C16orf89",4.36284109780973e-35,-4.56560505299143,0.012,0.408,4.49329004663424e-31
"ARPC2",5.20111923859335e-35,1.73247745044712,0.824,0.708,5.35663270382729e-31
"CD8A",7.87395603059616e-35,7.88898845085594,0.462,0.012,8.10938731591098e-31
"AK2",8.10262696402915e-35,-2.01976506786104,0.064,0.546,8.34489551025362e-31
"ATP11A",8.28002007898677e-35,-3.36164680943602,0.023,0.438,8.52759267934847e-31
"EGFL7",8.3351714618364e-35,-6.91836399408483,0.003,0.381,8.58439308854531e-31
"ALOX5AP",9.38734721591303e-35,4.56925319169326,0.538,0.081,9.66802889766883e-31
"FAM114A1",9.88548662059746e-35,-5.4923222843363,0.003,0.381,1.01810626705533e-30
"FAM127B",1.43102786419162e-34,-3.1058932678618,0.02,0.431,1.47381559733095e-30
"GGCT",1.68435657369096e-34,-2.49364019824869,0.052,0.508,1.73471883524432e-30
"FAM3C",1.88995093913291e-34,-2.54273090496915,0.084,0.569,1.94646047221299e-30
"ALCAM",2.24368054182726e-34,-6.03338881458696,0.003,0.377,2.31076659002789e-30
"C15orf48",2.97108910151174e-34,-5.4638246808561,0.017,0.412,3.05992466564695e-30
"ERO1A",3.3368877210062e-34,-3.70578090223077,0.035,0.458,3.43666066386428e-30
"FUCA1",3.33856974152803e-34,-3.10013160730748,0.026,0.442,3.43839297679972e-30
"GCSH",3.98802653260947e-34,-2.80957001655699,0.029,0.45,4.1072685259345e-30
"ADIRF",4.14853675461875e-34,-6.18370177409589,0.012,0.396,4.27257800358185e-30
"EGFR",4.22523260179383e-34,-10.0644680542878,0,0.365,4.35156705658747e-30
"GPRC5C",4.22523260179383e-34,-9.58621429568251,0,0.365,4.35156705658747e-30
"ANXA3",5.0788795577444e-34,-6.84861938188931,0.003,0.373,5.23073805652096e-30
"BAIAP2L1",6.01995564977286e-34,-5.33046135767183,0.003,0.373,6.19995232370107e-30
"GPX3",1.0532783789931e-33,-11.0210831041644,0,0.362,1.08477140252499e-29
"HEBP1",1.27658146291344e-33,-2.52366720303823,0.026,0.438,1.31475124865455e-29
"DSG2",1.49904132050393e-33,-5.66321070662113,0.003,0.369,1.543862655987e-29
"AP1S1",1.80420974018481e-33,-2.32587661624577,0.061,0.523,1.85815561141634e-29
"CD247",2.00968786045915e-33,7.30714990596883,0.457,0.019,2.06977752748688e-29
"ANXA4",2.04000183187792e-33,-2.27271756021198,0.064,0.531,2.10099788665107e-29
"C9orf3",2.61795491875688e-33,-9.43536811815475,0,0.358,2.69623177082771e-29
"HOOK2",3.00385799705238e-33,-2.58602174653796,0.043,0.477,3.09367335116425e-29
"AGR3",3.39950879656853e-33,-5.42965072142831,0.014,0.392,3.50115410958593e-29
"CBR1",3.75413992386135e-33,-2.74207985919455,0.049,0.485,3.8663887075848e-29
"HES4",4.21128900211972e-33,-2.34872386680266,0.014,0.4,4.33720654328309e-29
"CLPTM1L",4.32153083656986e-33,-2.70780201015737,0.043,0.473,4.4507446085833e-29
"CXCL2",5.0914275414164e-33,-4.50013469001607,0.043,0.454,5.24366122490475e-29
"GALE",7.57685666294706e-33,-3.54733451410832,0.017,0.404,7.80340467716918e-29
"CXADR",8.65748139691368e-33,-6.21811256382161,0.003,0.362,8.9163400906814e-29
"CMTM8",1.06436289286403e-32,-3.43909304575427,0.014,0.396,1.09618734336067e-28
"BAIAP2",1.10222181020402e-32,-3.11038362993629,0.02,0.412,1.13517824232912e-28
"CKAP4",1.29218584408997e-32,-4.15826490530464,0.006,0.369,1.33082220082826e-28
"DYNC1LI2",2.05943369767123e-32,-2.70956344564111,0.035,0.446,2.1210107652316e-28
"GRN",2.54352285858431e-32,-2.08850629051658,0.104,0.596,2.61957419205598e-28
"CEBPD",3.51327342921037e-32,-2.32852339919139,0.072,0.527,3.61832030474376e-28
"FNIP2",4.91920013194004e-32,-3.53855597883407,0.023,0.412,5.06628421588505e-28
"GNAQ",5.88962961397696e-32,-3.45836811248597,0.014,0.388,6.06572953943487e-28
"COPRS",1.28634508728844e-31,-3.53684895434511,0.012,0.377,1.32480680539836e-27
"DAP",1.87755134839655e-31,-2.27400663205926,0.066,0.512,1.93369013371361e-27
"DST",3.10449567281526e-31,-6.08978250177045,0.003,0.346,3.19732009343244e-27
"ATOX1",3.64522358917417e-31,-1.70070938088258,0.116,0.619,3.75421577449048e-27
"CPM",4.24205938749559e-31,-4.68304149612255,0.009,0.362,4.36889696318171e-27
"GPSM3",5.21914338306218e-31,3.86371844256743,0.546,0.138,5.37519577021574e-27
"HEBP2",7.85748837622722e-31,-1.83798991744582,0.087,0.554,8.09242727867641e-27
"ACTN1",7.91048016629191e-31,-3.39341715628003,0.017,0.385,8.14700352326404e-27
"DPCD",8.2014815202491e-31,-5.29124163757725,0.003,0.342,8.44670581770455e-27
"DPY30",9.23430839522468e-31,-1.75716160539086,0.139,0.646,9.5104142162419e-27
"ARL2",9.40253804165991e-31,-1.73690899860479,0.064,0.508,9.68367392910554e-27
"CYBA",9.46074758346609e-31,1.41645656820763,0.879,0.731,9.74362393621172e-27
"BIN2",1.1859611995239e-30,6.34042026689439,0.428,0.019,1.22142143938966e-26
"CFAP36",1.46766774454734e-30,-2.51243451474481,0.023,0.4,1.5115510101093e-26
"CD81",1.67805093298173e-30,-2.08856308615827,0.107,0.585,1.72822465587789e-26
"CLTA",2.30086282966835e-30,-1.73137983326963,0.199,0.719,2.36965862827543e-26
"CUX1",2.87999186516605e-30,-2.85203527991094,0.02,0.388,2.96610362193452e-26
"CST6",3.07993394121473e-30,-7.39727902025503,0.006,0.342,3.17202396605705e-26
"ASS1",3.43586364767158e-30,-9.82181899742383,0,0.327,3.53859597073696e-26
"ALDH2",4.26358792793236e-30,-2.63948865044964,0.035,0.423,4.39106920697754e-26
"GBAS",5.72030454480661e-30,-2.1471127906393,0.061,0.485,5.89134165069633e-26
"ARSD",6.33567272875311e-30,-3.07852502552309,0.017,0.377,6.52510934334282e-26
"EMP1",6.59852739815877e-30,-4.67440024945382,0.009,0.35,6.79582336736371e-26
"AKR1A1",6.78275737342938e-30,-2.03307050435681,0.072,0.512,6.98556181889492e-26
"BLVRA",8.65548355512806e-30,-2.54936522533827,0.049,0.454,8.91428251342639e-26
"CANX",1.28609693363635e-29,-1.87934586918601,0.142,0.623,1.32455123195208e-25
"BET1",1.29388631137953e-29,-3.04986110188905,0.023,0.388,1.33257351208978e-25
"CYB561",1.32660272220364e-29,-3.37439296344784,0.014,0.365,1.36626814359753e-25
"FLOT1",1.86934307712681e-29,-1.46640893778098,0.095,0.565,1.92523643513291e-25
"CAV1",2.15483957077546e-29,-7.45833907116238,0.006,0.335,2.21926927394164e-25
"HIST1H2AC",2.44806530030402e-29,-3.37325674380565,0.02,0.377,2.52126245278311e-25
"CD46",2.73468863684112e-29,-1.93705803780718,0.081,0.527,2.81645582708267e-25
"CREG1",3.03009877974687e-29,-3.22360737976069,0.02,0.377,3.1206987332613e-25
"CTSB",3.16256654537438e-29,-1.70280902154726,0.133,0.623,3.25712728508107e-25
"HNMT",3.74090964321214e-29,-4.35159482960256,0.006,0.335,3.85276284154418e-25
"CHMP2B",3.86771226554183e-29,-1.73015857219588,0.061,0.485,3.98335686228153e-25
"AHCY",3.92961172065185e-29,-3.03682087568167,0.026,0.392,4.04710711109934e-25
"CHPF",4.10217437427564e-29,-2.81356344880128,0.023,0.385,4.22482938806648e-25
"ADK",4.36508984637462e-29,-2.59301337410707,0.029,0.4,4.49560603278122e-25
"ACOT13",4.49527686220951e-29,-1.91275587143196,0.052,0.462,4.62968564038958e-25
"GIPC1",4.80605678703873e-29,-2.15812983981541,0.04,0.431,4.94975788497119e-25
"AAMDC",7.37847346861725e-29,-2.95404805926652,0.023,0.381,7.59908982532891e-25
"DNPH1",7.48143869276623e-29,-1.42562849332154,0.092,0.554,7.70513370967994e-25
"FLNB",7.5815561907338e-29,-3.04131220659985,0.014,0.358,7.80824472083674e-25
"FYB",8.05798316853613e-29,4.54691820987143,0.477,0.077,8.29891686527536e-25
"C16orf13",1.03464864000698e-28,-1.73310909776954,0.142,0.631,1.06558463434319e-24
"DDAH1",1.17292959547771e-28,-3.70144122368537,0.009,0.338,1.2080001903825e-24
"EPAS1",1.40230491364125e-28,-3.61256923820615,0.014,0.354,1.44423383055913e-24
"FAM83A",1.58826763337003e-28,-5.39673378581016,0.003,0.319,1.63575683560779e-24
"ARHGEF12",1.71776069347352e-28,-2.94907429537385,0.012,0.346,1.76912173820837e-24
"FAM13A",3.62625287996827e-28,-3.08418169507689,0.02,0.365,3.73467784107932e-24
"DYNLT1",4.66386577982726e-28,-1.52382889256158,0.159,0.658,4.80331536664409e-24
"CTNNBIP1",4.90977248915606e-28,-1.81484387416887,0.058,0.465,5.05657468658182e-24
"ATP2A2",5.73230845566793e-28,-1.98240232619229,0.046,0.435,5.9037044784924e-24
"AHR",6.27352820081588e-28,-2.56191784070054,0.04,0.415,6.46110669402027e-24
"CEACAM5",6.64919880093675e-28,-10.1795280617108,0,0.304,6.84800984508476e-24
"EHF",6.64919880093675e-28,-9.2741865978482,0,0.304,6.84800984508476e-24
"CRK",7.40360780041513e-28,-1.90068234917723,0.04,0.419,7.62497567364754e-24
"ETS2",8.24834372919666e-28,-3.52402992947916,0.014,0.346,8.49496920669964e-24
"CKS1B",9.64813323929801e-28,-1.78522242741932,0.049,0.438,9.93661242315302e-24
"ATP1A1",1.43826299601976e-27,-1.35004197186581,0.159,0.665,1.48126705960075e-23
"BAD",1.68808923771353e-27,-1.39274191881373,0.095,0.546,1.73856310592117e-23
"FAM84B",1.98083261631899e-27,-3.21729274775072,0.017,0.35,2.04005951154692e-23
"ASAH1",2.05934023642713e-27,-1.65410192434908,0.142,0.619,2.1209145094963e-23
"CAPN8",2.1751091061379e-27,-5.78234406670408,0.003,0.308,2.24014486841143e-23
"GYPC",2.3868214038144e-27,3.92778433254493,0.46,0.065,2.45818736378845e-23
"CHMP4B",2.87704653656206e-27,-1.68416064449784,0.101,0.55,2.96307022800527e-23
"APOA1BP",3.12495435170566e-27,-1.40363587279295,0.107,0.569,3.21839048682166e-23
"GRINA",3.49255671625029e-27,-2.3275171829832,0.035,0.396,3.59698416206617e-23
"C1orf122",4.45852952093848e-27,-1.71385693981951,0.107,0.55,4.59183955361454e-23
"AQP3",4.86578951485734e-27,-2.75953573244215,0.064,0.446,5.01127662135157e-23
"ERGIC1",5.82035242951001e-27,-1.53125847054717,0.061,0.462,5.99438096715236e-23
"BNIP3L",6.34292239920679e-27,-1.6917143877033,0.09,0.523,6.53257577894308e-23
"CDK4",8.65256466186766e-27,-1.72406880758362,0.061,0.458,8.9112763452575e-23
"BACE2",8.90938756242756e-27,-9.25250018312113,0,0.292,9.17577825054414e-23
"ARHGAP5",1.01510350078813e-26,-3.09655508144781,0.023,0.358,1.04545509546169e-22
"C1orf198",1.23140920102157e-26,-5.3960940392103,0.003,0.3,1.26822833613211e-22
"FGFBP2",1.33264042809963e-26,8.69777872882369,0.373,0.012,1.37248637689981e-22
"FAM195A",1.46842218287185e-26,-2.02690678079026,0.052,0.431,1.51232800613972e-22
"ARCN1",2.31470506596435e-26,-2.13249567286145,0.029,0.373,2.38391474743668e-22
"CD55",3.2420073403811e-26,-1.90431519409004,0.147,0.6,3.33894335985849e-22
"CAPNS1",3.2732255887292e-26,-1.40765761013894,0.095,0.531,3.3710950338322e-22
"GZMK",3.27357728052399e-26,7.86192419208464,0.384,0.023,3.37145724121166e-22
"DUSP23",3.79383036858112e-26,-1.46211968917603,0.127,0.588,3.90726589660169e-22
"FKBP9",3.86129018061687e-26,-4.10827708102325,0.006,0.304,3.97674275701731e-22
"GFPT1",3.94248357966945e-26,-1.75618913072774,0.058,0.442,4.06036383870157e-22
"EXPH5",4.95781863069674e-26,-9.19192992012356,0,0.285,5.10605740775458e-22
"GNG12",4.95781863069674e-26,-8.60612601785354,0,0.285,5.10605740775458e-22
"COMT",5.92098053723638e-26,-1.47633655349638,0.124,0.585,6.09801785529975e-22
"EMP3",7.42685106766577e-26,2.79956290932466,0.63,0.354,7.64891391458898e-22
"GLO1",7.8367658479371e-26,-1.48897030902996,0.098,0.531,8.07108514679042e-22
"BOD1",8.1320321545471e-26,-2.90616873881502,0.017,0.335,8.37517991596806e-22
"CYTIP",9.02369937599946e-26,5.34713934035627,0.387,0.027,9.29350798734185e-22
"FKBP4",9.12951099560093e-26,-2.23463468304587,0.043,0.4,9.4024833743694e-22
"ADGRF5",9.22331295371343e-26,-4.17860067649126,0.006,0.3,9.49909001102946e-22
"FAM127A",9.86232257528839e-26,-2.003877786507,0.038,0.388,1.01572060202895e-21
"CD2AP",1.08548287842842e-25,-1.99051536104322,0.035,0.381,1.11793881649342e-21
"HIST1H2BD",1.12558935980842e-25,-3.83067865910188,0.009,0.308,1.15924448166669e-21
"ARFGEF3",1.16478034862662e-25,-8.91088414460367,0,0.281,1.19960728105056e-21
"EVA1A",1.16478034862662e-25,-9.13426928648809,0,0.281,1.19960728105056e-21
"FNBP1L",1.16478034862662e-25,-8.8131330463726,0,0.281,1.19960728105056e-21
"DYNC1I2",1.62847562788703e-25,-1.50742636064931,0.092,0.515,1.67716704916085e-21
"CHP1",2.69276786366007e-25,-1.29135368816647,0.081,0.488,2.77328162278351e-21
"ESRP1",2.72913769315676e-25,-8.96320119443644,0,0.277,2.81073891018215e-21
"F3",2.72913769315676e-25,-9.15690316781499,0,0.277,2.81073891018215e-21
"AKAP1",3.35208838912901e-25,-3.73462464980676,0.012,0.312,3.45231583196397e-21
"EIF4EBP1",3.86447628103627e-25,-1.69421765518454,0.066,0.45,3.98002412183925e-21
"ATP9A",3.95175099103757e-25,-4.60677881073812,0.003,0.285,4.06990834566959e-21
"C1orf116",4.02001374588871e-25,-4.41564927356476,0.003,0.285,4.14021215689078e-21
"ARL3",4.56129254641641e-25,-2.38739591606269,0.032,0.365,4.69767519355426e-21
"DDX5",4.61863645849326e-25,1.04576540452548,0.893,0.804,4.7567336886022e-21
"FAM120A",4.69694817577199e-25,-1.39640256424983,0.075,0.473,4.83738692622757e-21
"EIF4G1",5.07611976198595e-25,-1.4879949467567,0.075,0.473,5.22789574286933e-21
"CDC42BPA",6.37734506549842e-25,-9.11402971502795,0,0.273,6.56802768295682e-21
"ARMC10",6.98894304472488e-25,-2.37721231949206,0.046,0.396,7.19791244176216e-21
"EBPL",7.17131242559747e-25,-1.74280645841701,0.081,0.477,7.38573466712283e-21
"COL1A1",8.34332330760887e-25,-4.83988052460702,0.014,0.312,8.59278867450637e-21
"CSNK1E",9.00998001266078e-25,-1.90679342517183,0.043,0.392,9.27937841503934e-21
"DNTTIP1",9.20276935207094e-25,-1.98716539930533,0.043,0.392,9.47793215569786e-21
"FAM50A",9.54523324924526e-25,-1.45302451828035,0.121,0.562,9.8306357233977e-21
"BTF3L4",1.20261744184117e-24,-1.32683400855871,0.078,0.477,1.23857570335222e-20
"DOK2",1.35563158321659e-24,8.45729393398246,0.35,0.012,1.39616496755477e-20
"EPS8L2",1.35811625728117e-24,-1.99492960141581,0.049,0.404,1.39872393337387e-20
"FKBP2",1.4443659739614e-24,-1.56001194059713,0.214,0.692,1.48755251658284e-20
"ARHGAP29",1.48625222144737e-24,-9.46891700213414,0,0.269,1.53069116286864e-20
"CHMP4C",1.48625222144737e-24,-8.66546876057952,0,0.269,1.53069116286864e-20
"C4orf48",1.53522373328491e-24,-1.89556957635884,0.159,0.6,1.58112692291013e-20
"GLUL",1.56348800167079e-24,-1.98466574904733,0.153,0.6,1.61023629292075e-20
"CTNNB1",2.05526315457889e-24,-1.68551324268859,0.118,0.535,2.1167155229008e-20
"CBY1",2.07427521446411e-24,-5.13154957636372,0.003,0.277,2.13629604337659e-20
"CLIC4",2.15742433419413e-24,-2.89835539716771,0.014,0.312,2.22193132178654e-20
"CD3G",2.30359886601834e-24,6.76965506940709,0.353,0.015,2.37247647211228e-20
"CXXC5",2.38216332957302e-24,-1.55733730931185,0.046,0.396,2.45339001312726e-20
"EFEMP1",2.46973725361425e-24,-4.72066695140988,0.006,0.285,2.54358239749731e-20
"C6orf132",2.70788398591498e-24,-4.3319944606858,0.006,0.285,2.78884971709384e-20
"DUSP3",3.04411078296387e-24,-3.02252261803232,0.006,0.285,3.13512969537449e-20
"GNA11",3.45452515392987e-24,-8.78695122179395,0,0.265,3.55781545603237e-20
"ASL",4.01102665804011e-24,-1.84442937373365,0.026,0.342,4.13095635511551e-20
