"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HDAC11",7.3149698179108e-11,-2.79024043562092,0.006,0.135,7.53368741546634e-07
"FTSJ3",7.36441576168413e-11,-1.41564059282112,0.02,0.173,7.58461179295848e-07
"GPSM2",7.53840970564003e-11,-1.98221826898378,0.006,0.135,7.76380815583867e-07
"FZR1",7.5561463133159e-11,-1.74684779402523,0.02,0.173,7.78207508808404e-07
"ALG2",7.57139472854314e-11,-0.915364184119134,0.035,0.208,7.79777943092658e-07
"GRAMD4",7.5953043355084e-11,-2.2293544788318,0.006,0.135,7.82240393514011e-07
"BAG1",7.65760796609202e-11,-0.487025416500913,0.185,0.504,7.88657044427817e-07
"AFG3L2",7.6592767274138e-11,-0.628980621582385,0.035,0.208,7.88828910156348e-07
"ATP13A2",7.74814050355469e-11,-0.855620875978657,0.035,0.208,7.97980990461097e-07
"ATPAF2",7.75275539644846e-11,-1.57006450775568,0.02,0.173,7.98456278280227e-07
"GPN2",7.7811474265527e-11,-0.92845636681775,0.023,0.181,8.01380373460662e-07
"ARHGEF10",7.78477975044633e-11,-2.89162032716236,0.009,0.142,8.01754466498468e-07
"GNA15",7.82998958483347e-11,-0.712978227219245,0.023,0.181,8.06410627341999e-07
"HIST1H2BG",8.0472928764507e-11,-2.14961799953235,0.014,0.158,8.28790693345657e-07
"C16orf58",8.16330856916851e-11,-1.60806241252188,0.017,0.165,8.40739149538665e-07
"BORCS7",8.17256866345983e-11,-0.318929704882697,0.092,0.331,8.41692846649728e-07
"EXOC5",8.20780345221447e-11,-0.649377850883941,0.035,0.208,8.45321677543569e-07
"CXorf56",8.24060266228828e-11,-1.76889340830686,0.014,0.158,8.4869966818907e-07
"GNL2",8.28193543629854e-11,-0.54057771481175,0.052,0.246,8.52956530584387e-07
"CHCHD2",8.30643255001476e-11,-1.64674650097938,0.734,0.865,8.5547948832602e-07
"ACTR1A",8.3128543752403e-11,-0.40618227571381,0.075,0.296,8.56140872105998e-07
"CRIM1",8.32489855659132e-11,-1.95072533269171,0.014,0.158,8.5738130234334e-07
"DNAJB12",8.37677406745457e-11,-0.714026557558286,0.064,0.269,8.62723961207146e-07
"APOO",8.53559124705971e-11,-1.10953160746454,0.02,0.173,8.7908054253468e-07
"CLDN15",8.67737131417628e-11,-2.11859321047762,0.009,0.142,8.93682471647015e-07
"BCL10",8.74205312409266e-11,-0.764261590961667,0.043,0.227,9.00344051250303e-07
"CRYZL1",8.93488293089992e-11,-0.519245610647164,0.052,0.246,9.20203593053383e-07
"CASK",9.04185122134835e-11,-0.562702955457059,0.02,0.173,9.31220257286667e-07
"FN3KRP",9.53132203739426e-11,-0.29468364837721,0.035,0.208,9.81630856631235e-07
"AFAP1-AS1",9.660201992902e-11,-6.58974321027928,0,0.115,9.94904203248977e-07
"BCAR3",9.660201992902e-11,-6.95568053950357,0,0.115,9.94904203248977e-07
"CD163L1",9.660201992902e-11,-7.69586144591287,0,0.115,9.94904203248977e-07
"CRYBG3",9.660201992902e-11,-6.46832902165876,0,0.115,9.94904203248977e-07
"DBNDD1",9.660201992902e-11,-7.22144619283592,0,0.115,9.94904203248977e-07
"DNM3",9.660201992902e-11,-8.13520168969105,0,0.115,9.94904203248977e-07
"ERLIN1",9.660201992902e-11,-6.75959873943441,0,0.115,9.94904203248977e-07
"FAXDC2",9.660201992902e-11,-8.31294646916144,0,0.115,9.94904203248977e-07
