names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
TIGIT,7.936355,28.689072,2.082089958511237e-15,6.170065383052201e-11,0.2668711656441718,0.0
TMSB4X,4.788338,0.2053656,1.6816799803162793e-06,0.02491745226834631,1.0,0.9996762706377469
RPL12,3.6726718,0.108819395,0.00024002770767681943,1.0,0.9969325153374233,0.9980576238264811
RPS24,3.4503593,0.0815233,0.0005598406262722378,1.0,0.9846625766871165,0.9964389770152153
RPL7,2.96507,0.11716332,0.003026140204870842,1.0,1.0,0.9980576238264811
RPS15,2.6830451,0.06343605,0.007295512168976342,1.0,1.0,0.9983813531887342
HAVCR2,2.6454518,26.838436,0.008158191578377823,1.0,0.08895705521472393,0.0
CD3E,2.5096369,1.8216683,0.01208553624775541,1.0,0.12269938650306748,0.038847523470378766
CD3D,2.4766798,1.403715,0.013261079152143722,1.0,0.15030674846625766,0.06927808352217546
RPL15,2.4088757,0.0760411,0.01600174352038868,1.0,1.0,0.9987050825509873
SH3BGRL3,2.3682702,0.13623191,0.01787148302485913,1.0,0.7239263803680982,0.7568792489478796
ATP5O,2.3288162,0.2783293,0.019868806473462675,1.0,0.598159509202454,0.5623179022337326
RPS7,2.306963,0.066400535,0.021056886352042017,1.0,0.9938650306748467,0.9980576238264811
RPS2,2.2993143,0.06933407,0.021487098017545368,1.0,1.0,1.0
RGS1,2.2870884,0.5236416,0.02219066910027633,1.0,0.38650306748466257,0.32631919715118163
RPS3A,2.2047253,0.094882876,0.027473379972380467,1.0,1.0,0.9993525412754937
TMSB10,2.191259,0.08336599,0.028433059753072677,1.0,0.9723926380368099,0.9915830365814179
PFDN5,2.1865044,0.038315322,0.02877872437698415,1.0,0.9355828220858896,0.9634185820653933
RPS18,2.146962,0.088268064,0.03179631916668121,1.0,1.0,0.9990288119132406
TMEM50A,2.0987961,0.644459,0.035834874912888025,1.0,0.24233128834355827,0.17610877306571707
PDCD1,2.0981169,26.600235,0.03589481808045698,1.0,0.0705521472392638,0.0
